Dataset,Project,Deffects (%),Percent,Classifier,F1,AUC,PF
PROMISE,lucene-2.2,144 (58.3 %),58.3,EASC-NB,0.1728,0.6329,0.0388
PROMISE,lucene-2.2,144 (58.3 %),58.3,EASC-RBF,0.2471,0.6386,0.0485
PROMISE,lucene-2.2,144 (58.3 %),58.3,EASC-RF,0.5633,0.6074,0.3107
PROMISE,lucene-2.2,144 (58.3 %),58.3,EASC-SVM,0.1274,0.6112,0.0291
PROMISE,poi-1.5,141 (59.49 %),59.49,EASC-DT,0.383,0.6859,0.1146
PROMISE,poi-1.5,141 (59.49 %),59.49,EASC-LR,0.253,0.7195,0.0417
PROMISE,poi-1.5,141 (59.49 %),59.49,EASC-NB,0.2738,0.7461,0.0417
PROMISE,poi-1.5,141 (59.49 %),59.49,EASC-RBF,0.3616,0.7344,0.0417
PROMISE,poi-1.5,141 (59.49 %),59.49,EASC-RF,0.5636,0.7429,0.1771
PROMISE,poi-1.5,141 (59.49 %),59.49,EASC-SVM,0.106,0.6922,0.0208
PROMISE,lucene-2.4,203 (59.71 %),59.71,EASC-DT,0.494,0.5203,0.365
PROMISE,lucene-2.4,203 (59.71 %),59.71,EASC-LR,0.2241,0.6506,0.0219
PROMISE,lucene-2.4,203 (59.71 %),59.71,EASC-NB,0.3008,0.7146,0.0438
PROMISE,lucene-2.4,203 (59.71 %),59.71,EASC-RBF,0.4321,0.6733,0.1606
PROMISE,lucene-2.4,203 (59.71 %),59.71,EASC-RF,0.5455,0.6127,0.2117
PROMISE,lucene-2.4,203 (59.71 %),59.71,EASC-SVM,0.2087,0.6285,0.0219
PROMISE,sklebagd,12 (60.0 %),60.0,EASC-DT,0.7273,0.7396,0.25
PROMISE,sklebagd,12 (60.0 %),60.0,EASC-LR,0.7368,0.9375,0.0
PROMISE,sklebagd,12 (60.0 %),60.0,EASC-NB,0.4,0.7292,0.0
PROMISE,sklebagd,12 (60.0 %),60.0,EASC-RBF,0.5556,0.8021,0.125
PROMISE,sklebagd,12 (60.0 %),60.0,EASC-RF,0.5,0.9427,0.0
PROMISE,sklebagd,12 (60.0 %),60.0,EASC-SVM,0.4,0.8438,0.0
PROMISE,poi-3.0,281 (63.57 %),63.57,EASC-DT,0.5535,0.645,0.1863
PROMISE,poi-3.0,281 (63.57 %),63.57,EASC-LR,0.2393,0.7607,0.0373
PROMISE,poi-3.0,281 (63.57 %),63.57,EASC-NB,0.2798,0.7997,0.0497
PROMISE,poi-3.0,281 (63.57 %),63.57,EASC-RBF,0.5545,0.812,0.0683
PROMISE,poi-3.0,281 (63.57 %),63.57,EASC-RF,0.4951,0.6782,0.1615
PROMISE,poi-3.0,281 (63.57 %),63.57,EASC-SVM,0.1489,0.6473,0.0311
PROMISE,poi-2.5,248 (64.42 %),64.42,EASC-DT,0.2583,0.3745,0.3066
PROMISE,poi-2.5,248 (64.42 %),64.42,EASC-LR,0.3172,0.7413,0.0876
PROMISE,poi-2.5,248 (64.42 %),64.42,EASC-NB,0.2492,0.7244,0.0876
PROMISE,poi-2.5,248 (64.42 %),64.42,EASC-RBF,0.5953,0.7944,0.1533
PROMISE,poi-2.5,248 (64.42 %),64.42,EASC-RF,0.2455,0.4819,0.3285
PROMISE,poi-2.5,248 (64.42 %),64.42,EASC-SVM,0.1733,0.6063,0.0365
PROMISE,velocity-1.5,142 (66.36 %),66.36,EASC-DT,0.5714,0.5232,0.3889
PROMISE,velocity-1.5,142 (66.36 %),66.36,EASC-LR,0.1053,0.6985,0.0278
PROMISE,velocity-1.5,142 (66.36 %),66.36,EASC-NB,0.1635,0.6699,0.0556
PROMISE,velocity-1.5,142 (66.36 %),66.36,EASC-RBF,0.1419,0.6412,0.0278
PROMISE,velocity-1.5,142 (66.36 %),66.36,EASC-RF,0.5108,0.4485,0.4167
PROMISE,velocity-1.5,142 (66.36 %),66.36,EASC-SVM,0.0933,0.5476,0.0139
PROMISE,wspomaganiepi,12 (66.67 %),66.67,EASC-DT,0.5263,0.5417,0.3333
PROMISE,wspomaganiepi,12 (66.67 %),66.67,EASC-LR,0.1538,0.4306,0.0
PROMISE,wspomaganiepi,12 (66.67 %),66.67,EASC-NB,0.1538,0.875,0.0
PROMISE,wspomaganiepi,12 (66.67 %),66.67,EASC-RBF,0.4,0.875,0.0
PROMISE,wspomaganiepi,12 (66.67 %),66.67,EASC-RF,0.1538,0.8333,0.0
PROMISE,wspomaganiepi,12 (66.67 %),66.67,EASC-SVM,0.2857,0.8056,0.0
PROMISE,xerces-1.4,437 (74.32 %),74.32,EASC-DT,0.3358,0.471,0.0596
PROMISE,xerces-1.4,437 (74.32 %),74.32,EASC-LR,0.1477,0.5706,0.0132
PROMISE,xerces-1.4,437 (74.32 %),74.32,EASC-NB,0.2711,0.7355,0.0199
PROMISE,xerces-1.4,437 (74.32 %),74.32,EASC-RBF,0.1967,0.8138,0.0199
PROMISE,xerces-1.4,437 (74.32 %),74.32,EASC-RF,0.2813,0.6003,0.0199
PROMISE,xerces-1.4,437 (74.32 %),74.32,EASC-SVM,0.193,0.6099,0.0199
PROMISE,velocity-1.4,147 (75.0 %),75.0,EASC-DT,0.4059,0.4704,0.2857
PROMISE,velocity-1.4,147 (75.0 %),75.0,EASC-LR,0.0988,0.5048,0.1429
PROMISE,velocity-1.4,147 (75.0 %),75.0,EASC-NB,0.1205,0.3182,0.1837
PROMISE,velocity-1.4,147 (75.0 %),75.0,EASC-RBF,0.1818,0.5201,0.0612
PROMISE,velocity-1.4,147 (75.0 %),75.0,EASC-RF,0.441,0.4638,0.102
PROMISE,velocity-1.4,147 (75.0 %),75.0,EASC-SVM,0.0392,0.4455,0.0612
PROMISE,pbeans-1,20 (76.92 %),76.92,EASC-DT,0.4615,0.6417,0.0
PROMISE,pbeans-1,20 (76.92 %),76.92,EASC-LR,0.0952,0.7167,0.0
PROMISE,pbeans-1,20 (76.92 %),76.92,EASC-NB,0.2609,0.8417,0.0
PROMISE,pbeans-1,20 (76.92 %),76.92,EASC-RBF,0.1818,0.6083,0.0
PROMISE,pbeans-1,20 (76.92 %),76.92,EASC-RF,0.3333,0.8333,0.0
PROMISE,pbeans-1,20 (76.92 %),76.92,EASC-SVM,0.1818,0.5917,0.0
PROMISE,log4j-1.2,189 (92.2 %),92.2,EASC-DT,0.4578,0.5802,0.1875
PROMISE,log4j-1.2,189 (92.2 %),92.2,EASC-LR,0.0812,0.5721,0.0
PROMISE,log4j-1.2,189 (92.2 %),92.2,EASC-NB,0.1188,0.6141,0.0625
PROMISE,log4j-1.2,189 (92.2 %),92.2,EASC-RBF,0.1471,0.5787,0.0
PROMISE,log4j-1.2,189 (92.2 %),92.2,EASC-RF,0.3097,0.607,0.125
PROMISE,log4j-1.2,189 (92.2 %),92.2,EASC-SVM,0.0615,0.4818,0.0
PROMISE,xalan-2.7,898 (98.79 %),98.79,EASC-DT,0.4531,0.745,0.0
PROMISE,xalan-2.7,898 (98.79 %),98.79,EASC-LR,0.3073,0.8092,0.0
PROMISE,xalan-2.7,898 (98.79 %),98.79,EASC-NB,0.4531,0.838,0.0
PROMISE,xalan-2.7,898 (98.79 %),98.79,EASC-RBF,0.4844,0.882,0.0
PROMISE,xalan-2.7,898 (98.79 %),98.79,EASC-RF,0.5033,0.9356,0.0
PROMISE,xalan-2.7,898 (98.79 %),98.79,EASC-SVM,0.2631,0.6279,0.0
